7-14 21:53:15,166 : __main__ : ERROR : 127.0.0.1 : T0392511G - Patient T0392511G failed to log in: Incorrect password
---
2021-07-16 17:45:28,402 : __main__ : ERROR : 127.0.0.1 : T0392511G - Patient T0392511G failed to log in: Incorrect password
2021-07-16 18:31:38,472 : __main__ : ERROR : 127.0.0.1 : T5739128U - Admin T5739128U failed to log in: Incorrect password
2021-07-16 18:31:48,120 : __main__ : ERROR : 127.0.0.1 : T5739128U - Admin T5739128U failed to log in: Incorrect password
2021-07-16 18:31:55,324 : __main__ : ERROR : 127.0.0.1 : T5739128U - Admin T5739128U failed to log in: Incorrect password
2021-07-16 18:32:01,260 : __main__ : ERROR : 127.0.0.1 : T5739128U - Admin T5739128U failed to log in: Incorrect password
2021-07-16 22:07:32,925 : __main__ : ERROR : 127.0.0.1 : T5739128U - Admin T5739128U failed to log in: Incorrect password
2021-07-16 22:24:58,484 : __main__ : ERROR : 127.0.0.1 : T5739128U - Admin T5739128U failed to log in: Incorrect password
2021-07-16 22:28:24,056 : __main__ : ERROR : 127.0.0.1 : T5739128U - Admin T5739128U failed to log in: Incorrect password
2021-07-16 22:33:36,109 : __main__ : ERROR : 127.0.0.1 : T5739128U - Admin T5739128U failed to log in: Incorrect password
2021-07-16 22:47:55,366 : __main__ : INFO : 127.0.0.1 : T5739128U - User T5739128U has created the item: awd (ID No: 61)
2021-07-16 22:52:56,878 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has created the item: we (ID No: 62)
2021-07-16 23:11:16,575 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has updated the item: we (ID No: 62)
2021-07-16 23:11:39,879 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has updated the item: solol (ID No: 62)
2021-07-16 23:11:48,569 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has updated the item: solol (ID No: 62)
2021-07-16 23:13:13,249 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has updated the item: Tissue paper (ID No: 23)
2021-07-16 23:41:22,400 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has updated the item: (ID No: 20)
2021-07-16 23:42:27,587 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has created the item: we (ID No: 63)
2021-07-16 23:42:32,539 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has deleted the item: (ID No: 63)
2021-07-16 23:44:14,388 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has created the item: awewe (ID No: 64)
2021-07-16 23:44:16,006 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has deleted the item: ID No: 64 (Item Numbers are not reused)
2021-07-16 23:46:22,252 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has created the item: wae (ID No: 65)
2021-07-16 23:47:16,298 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has created the item: awdw (ID No: 66)
2021-07-16 23:47:19,321 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has deleted the item: ID No: 66 (Item Numbers are not reused)
2021-07-16 23:48:34,086 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has created the item: drgd (ID No: 67)
2021-07-16 23:48:35,772 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has deleted the item ID No: 67 (Item Numbers are not reused)
---
2021-07-17 20:45:49,121 : __main__ : INFO : 127.0.0.1 : T5739128U - Admin T5739128U has created the item: Fish Food (ID No: 68)
